days
pon	uto	sre	cet	pet

hours
1	2	3	4	5	6	7

people
64	kusa	bio.p	1,1
71	staiv	bio.p	1,1
72	staiv	bio.p	1,1
73	staiv	bio.p	1,1
74	staiv	bio.p	1,1
81	kusa	bio.p	1,1
82	kusa	bio.p	1,1
83	kusa	bio.p	1,1
84	kusa	bio.p	1,1
51,54	busne	fra.p	1,1
52,53	busne	fra.p	1,1
61,62	busne	fra.p	1,1
63,64	busne	fra.p	1,1
71,73	busne	fra.p	1,1
72,74	busne	fra.p	1,1
81,83	busne	fra.p	1,1
82,84	busne	fra.p	1,1
51,54	trina	rus.p	1,1
52,53	trina	rus.p	1,1
61,62	trina	rus.p	1,1
63,64	trina	rus.p	1,1
71,73	trina	rus.p	1,1
72,74	trina	rus.p	1,1
81,83	trina	rus.p	1,1
82,84	trina	rus.p	1,1
51,54	pone	ver.v	1
52,53	pone	ver.v	1
61	pone	ver.v	1
62	pone	ver.v	1
63	pone	ver.v	1
64	pone	ver.v	1
71,72	pone	ver.v	1
73	pone	ver.v	1
74	pone	ver.v	1
81,82	pone	ver.v	1
83,84	pone	ver.v	1
52,53	mata	gra.v	1
82,84	mata	gra.v	1
61,64	mane	gra.v	1
62,63	mane	gra.v	1
71,73	mane	gra.v	1
72,74	mane	gra.v	1
51,52,53,54	zije	cp.v	1
51,54	busne	mp.v	1
52,53	busne	mp.v	1
51,52,54	stemi	vv.v	1
61	cami	cp.v	1
62,63,64	arsa	cp.v	1
62,63	munje	csv.v	1
64	munje	csv.v	1
71,74	munje	um.v	1
72,73	munje	um.v	1
71,72	staiv	mzs.v	1
73,74	staiv	mzs.v	1
81,83,84	kusa	dom.v	1
81,83	boal	pdz.v	1
82	cvone	pdz.v	1
84	rosne	pdz.v	1

distinct
arsa	zije
kove	driv
mani	munje

cardinality_alltime
kusa
staiv
cami

2

cardinality_alltime
stama
rejo
brsla
hata

3

cardinality_alltime
boal
rosne
cvone

2

cardinality_alltime
busne
trina
neol
mami

3


cardinality_total
16

// dve rupe
cardinality
arsa_2hole1
boal_2hole1
bosne_2hole1
brsla_2hole1
busne_2hole1
cami_2hole1
cvone_2hole1
driv_2hole1
hata_2hole1
jasve_2hole1
opje_2hole1
kove_2hole1
kusa_2hole1
mami_2hole1
mani_2hole1
mata_2hole1
munje_2hole1
neol_2hole1
mane_2hole1
pone_2hole1
rada_2hole1
rejo_2hole1
rosne_2hole1
staiv_2hole1
stama_2hole1
steda_2hole1
stemi_2hole1
temi_2hole1
trina_2hole1
zije_2hole1
zijo_2hole1

0

// 7 casovi za petake
cardinality
51_pon_7
51_uto_7
51_sre_7
51_cet_7
51_pet_7
52_pon_7
52_uto_7
52_sre_7
52_cet_7
52_pet_7
53_pon_7
53_uto_7
53_sre_7
53_cet_7
53_pet_7
54_pon_7
54_uto_7
54_sre_7
54_cet_7
54_pet_7

0

// 7 casovi za sestake
// cardinality
61_duration_pon_7
61_duration_uto_7
61_duration_sre_7
61_duration_cet_7
61_duration_pet_7

1

// cardinality
62_duration_pon_7
62_duration_uto_7
62_duration_sre_7
62_duration_cet_7
62_duration_pet_7

1

// cardinality
63_duration_pon_7
63_duration_uto_7
63_duration_sre_7
63_duration_cet_7
63_duration_pet_7

1

// engleski 7. cas
cardinality
neol_pon_7
neol_uto_7
neol_sre_7
neol_cet_7
neol_pet_7

2

cardinality
mami_pon_7
mami_uto_7
mami_sre_7
mami_cet_7
mami_pet_7

1

same_time
busne_51_fra.p.1'	trina_51_rus.p.1'
busne_52_fra.p.1'	trina_52_rus.p.1'
busne_51_fra.p.2'	trina_51_rus.p.2'
busne_52_fra.p.2'	trina_52_rus.p.2'
busne_61_fra.p.1'	trina_61_rus.p.1'
busne_63_fra.p.1'	trina_63_rus.p.1'
busne_61_fra.p.2'	trina_61_rus.p.2'
busne_63_fra.p.2'	trina_63_rus.p.2'
busne_71_fra.p.1'	trina_71_rus.p.1'
busne_72_fra.p.1'	trina_72_rus.p.1'
busne_71_fra.p.2'	trina_71_rus.p.2'
busne_72_fra.p.2'	trina_72_rus.p.2'
busne_81_fra.p.1'	trina_81_rus.p.1'
busne_82_fra.p.1'	trina_82_rus.p.1'
busne_81_fra.p.2'	trina_81_rus.p.2'
busne_82_fra.p.2'	trina_82_rus.p.2'
rada_51_fzc.v.1'	steda_52_fzc.v.1'
rada_51_fzc.v.2'	steda_52_fzc.v.2'
rada_51_fzc.v.3'	steda_52_fzc.v.3'
rada_54_fzc.v.1'	steda_53_fzc.v.1'
rada_54_fzc.v.2'	steda_53_fzc.v.2'
rada_54_fzc.v.3'	steda_53_fzc.v.3'
rada_61_fzc.v.1'	steda_62_fzc.v.1'
rada_61_fzc.v.2'	steda_62_fzc.v.2'
rada_61_fzc.v.3'	steda_62_fzc.v.3'
rada_64_fzc.v.1'	steda_63_fzc.v.1'
rada_64_fzc.v.2'	steda_63_fzc.v.2'
rada_64_fzc.v.3'	steda_63_fzc.v.3'
rada_71_fzc.v.1'	steda_72_fzc.v.1'
rada_71_fzc.v.2'	steda_72_fzc.v.2'
rada_71_fzc.v.3'	steda_72_fzc.v.3'
